method,method_label,threat,receiver,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,bler_upper_bound,zero_error,stats_sufficient,collision_rate,elapsed_s
random,Random,fixed_d1,none,10521,1021000,492,500,128343,1024000,0.12521698113962998,0.01030460333006856,0.010110552275694084,0.010502339276947072,0.984,0.9687488914666064,0.9918707469666116,0.972,0.994,0.9918707469666116,False,True,0.1253349609375,7.819351709000017
random,Random,fixed_d1,brw,303,1021000,88,500,128343,1024000,0.12533660046162157,0.000296767874632713,0.0002651849691695509,0.00033211098022604225,0.176,0.1451264013297267,0.21181417128935892,0.142,0.208,0.21181417128935892,False,False,0.1253349609375,7.8863623750000045
random,Random,fixed_d1,hard_tuned,472,1021000,123,500,128343,1024000,0.12524427516030517,0.0004622918707149853,0.0004224332279564516,0.0005059094680577068,0.246,0.21028099168567166,0.2855921732687967,0.208,0.286,0.2855921732687967,False,True,0.1253349609375,7.802931958000016
random,Random,fixed_d1,oracle,1,1021000,1,500,128343,1024000,0.12528898213922884,9.79431929480901e-07,1.7289380636315717e-07,5.5483959513203965e-06,0.002,0.0003531363945592893,0.01124070670514633,0.0,0.006,0.01124070670514633,False,False,0.1253349609375,7.789046917000007
random,Random,fixed_d1,mixllr,61,1021000,24,500,128343,1024000,0.12546338147385674,5.9745347698334966e-05,4.6516323524562486e-05,7.673635556515607e-05,0.048,0.03246520694135352,0.07042719683588934,0.03,0.068,0.07042719683588934,False,False,0.1253349609375,7.282653834000001
random,Random,fixed_d3,none,10017,1021000,489,500,128212,1024000,0.125152428807185,0.009810969637610186,0.00962162197860174,0.010004005903650323,0.978,0.9610391387886843,0.9876719917300723,0.964,0.99,0.9876719917300723,False,True,0.12520703125,7.856884084000001
random,Random,fixed_d3,brw,317,1021000,97,500,128212,1024000,0.12492849004311073,0.0003104799216454456,0.000278135243991768,0.0003465846962479666,0.194,0.16172646664323764,0.23093962971923215,0.162,0.23,0.23093962971923215,False,False,0.12520703125,7.839439792000007
random,Random,fixed_d3,hard_tuned,386,1021000,114,500,128212,1024000,0.12510884401181627,0.0003780607247796278,0.0003421857297459228,0.0004176953082256521,0.228,0.1933817691150016,0.26676587209608266,0.192,0.264,0.26676587209608266,False,True,0.12520703125,7.862985208999987
random,Random,fixed_d3,oracle,0,1021000,0,500,128212,1024000,0.1251702487833058,0.0,0.0,3.762433268816303e-06,0.0,0.0,0.007624340461551824,0.0,0.0,0.006,True,False,0.12520703125,7.861278333000001
random,Random,fixed_d3,mixllr,61,1021000,23,500,128212,1024000,0.12518162183695578,5.9745347698334966e-05,4.6516323524562486e-05,7.673635556515607e-05,0.046,0.030845108370816544,0.06807779276827253,0.028,0.064,0.06807779276827253,False,False,0.12520703125,7.338151499999981
random,Random,delay_uniform,none,10450,1021000,486,500,127850,1024000,0.12488501171603333,0.010235063663075417,0.01004166805464443,0.010432144687287153,0.972,0.9535535973250517,0.9832490252792434,0.956,0.984,0.9832490252792434,False,True,0.124853515625,7.805426083000015
random,Random,delay_uniform,brw,264,1021000,78,500,127850,1024000,0.125075900723004,0.0002585700293829579,0.00022920709395638975,0.00029169345237338066,0.156,0.12683079140384576,0.19041475483370193,0.12395,0.19,0.19041475483370193,False,False,0.124853515625,7.795737167000027
random,Random,delay_uniform,hard_tuned,403,1021000,105,500,127850,1024000,0.12480495365639847,0.00039471106758080316,0.0003580159204270216,0.00043516567785529663,0.21,0.17657727050840336,0.24784484695929673,0.176,0.246,0.24784484695929673,False,True,0.124853515625,7.8454135000000065
random,Random,delay_uniform,oracle,16,1021000,7,500,127850,1024000,0.12486907875791146,1.5670910871694417e-05,9.646463784121474e-06,2.5457673306570827e-05,0.014,0.006797789790843618,0.028613069137784754,0.004,0.026,0.028613069137784754,False,False,0.124853515625,7.860762707999982
random,Random,delay_uniform,mixllr,64,1021000,20,500,127850,1024000,0.12471333586797953,6.268364348677767e-05,4.909315599287182e-05,8.00360925634485e-05,0.04,0.02604079738977757,0.06097359583485012,0.024,0.058,0.06097359583485012,False,False,0.124853515625,7.270711291999987
random,Random,oracle_best_lag,none,21734,1021000,499,500,174606,1024000,0.1588076207272209,0.021286973555337905,0.021008794020327785,0.021568755341981848,0.998,0.9887592932948537,0.9996468636054407,0.994,1.0,0.9996468636054407,False,True,0.170513671875,8.233995375000006
random,Random,oracle_best_lag,brw,822,1021000,167,500,174606,1024000,0.15870320321129236,0.0008050930460333007,0.0007519240017048311,0.0008620184654128649,0.334,0.2940638124558782,0.37646746857735713,0.292,0.374,0.37646746857735713,False,True,0.170513671875,8.190895875000024
random,Random,oracle_best_lag,hard_tuned,1425,1021000,252,500,174606,1024000,0.1586458012582477,0.001395690499510284,0.0013251276454190896,0.001470005284485558,0.504,0.46031215439035417,0.5476268508859534,0.46,0.548,0.5476268508859534,False,True,0.170513671875,8.199707915999966
random,Random,oracle_best_lag,oracle,8,1021000,8,500,174606,1024000,0.15858281921589779,7.835455435847208e-06,3.970425371179561e-06,1.5462859808574743e-05,0.016,0.00812925303338846,0.03125110853339371,0.006,0.028,0.03125110853339371,False,False,0.170513671875,8.192168207999998
random,Random,oracle_best_lag,mixllr,211,1021000,57,500,174606,1024000,0.15876994644909923,0.00020666013712047012,0.00018059562427117065,0.00023648552814863543,0.114,0.08903690099400347,0.14484908984231457,0.084,0.142,0.14484908984231457,False,False,0.170513671875,7.638195333999988
random,Random,causal_adaptive_lag,none,10370,1021000,488,500,128494,1024000,0.1253734623087038,0.010156709108716943,0.009964054787428954,0.010353049435393247,0.976,0.9585229425360998,0.9862186853445029,0.962,0.988,0.9862186853445029,False,True,0.125482421875,7.919769792000011
random,Random,causal_adaptive_lag,brw,358,1021000,97,500,128524,1024000,0.12534112936122363,0.0003506366307541626,0.0003161528324726723,0.00038888022381061964,0.194,0.16172646664323764,0.23093962971923215,0.16,0.228,0.23093962971923215,False,False,0.12551171875,7.939174292000018
random,Random,causal_adaptive_lag,hard_tuned,352,1021000,95,500,128524,1024000,0.12502641174547366,0.0003447600391772772,0.00031058134614491686,0.0003826985712051716,0.19,0.15802737882972995,0.22669971225643226,0.156,0.224,0.22669971225643226,False,False,0.12551171875,7.932974333999994
random,Random,causal_adaptive_lag,oracle,3,1021000,1,500,128524,1024000,0.1253176119617725,2.9382957884427033e-06,9.992862198088817e-07,8.639716515609174e-06,0.002,0.0003531363945592893,0.01124070670514633,0.0,0.006,0.01124070670514633,False,False,0.12551171875,7.908393666999984
random,Random,causal_adaptive_lag,mixllr,58,1021000,23,500,128524,1024000,0.1255063325343173,5.6807051909892265e-05,4.3948354258349753e-05,7.342775536476707e-05,0.046,0.030845108370816544,0.06807779276827253,0.028,0.064,0.06807779276827253,False,False,0.12551171875,7.356367750000004
random,Random,candidate_aware,none,10440,1021000,492,500,127950,1024000,0.12533971985320722,0.010225269343780607,0.01003196623589836,0.010422257941144548,0.984,0.9687488914666064,0.9918707469666116,0.972,0.994,0.9918707469666116,False,True,0.124951171875,7.849408457999971
random,Random,candidate_aware,brw,315,1021000,81,500,127950,1024000,0.12459673586588756,0.00030852105778648385,0.00027628416221679204,0.00034451806504520814,0.162,0.13230178838984005,0.19685226576216905,0.13,0.194,0.19685226576216905,False,False,0.124951171875,7.830904207999993
random,Random,candidate_aware,hard_tuned,405,1021000,104,500,127950,1024000,0.12482710467653574,0.00039666993143976494,0.0003598794409667726,0.00043721987029328007,0.208,0.17471631170963015,0.24573630311991618,0.174,0.244,0.24573630311991618,False,True,0.124951171875,7.833848792000026
random,Random,candidate_aware,oracle,5,1021000,4,500,127950,1024000,0.12496659187155632,4.897159647404505e-06,2.0917756423217975e-06,1.1464940070830757e-05,0.008,0.003115315180062316,0.020387035834104682,0.002,0.016,0.020387035834104682,False,False,0.124951171875,7.851940917000036
random,Random,candidate_aware,mixllr,57,1021000,22,500,127950,1024000,0.12500482270251909,5.582761998041136e-05,4.30944500918829e-05,7.232280304236667e-05,0.044,0.029233955628607516,0.06571944287232775,0.026,0.062,0.06571944287232775,False,False,0.124951171875,7.310026958000037
bcd,Block-Cyclic Det.,fixed_d1,none,188,1021000,35,500,3970,1024000,0.035140402590213185,0.0001841332027424094,0.000159628168182079,0.00021239928499378034,0.07,0.05075974294501853,0.09579718985191604,0.048,0.094,0.09579718985191604,False,False,0.003876953125,7.445980542000029
bcd,Block-Cyclic Det.,fixed_d1,brw,2,1021000,2,500,3970,1024000,0.03530832210657813,1.958863858961802e-06,5.371912890029076e-07,7.142954957547896e-06,0.004,0.0010976305226828263,0.014465715215176587,0.0,0.01,0.014465715215176587,False,False,0.003876953125,7.373116000000039
