alpha,floor,cap,short_delay_collision,worst_lag,worst_lag_collision,candidate_collision,risk_max_worst_or_candidate,usage_cv,max_inclusion_prob,elapsed_s,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
0.6,0.3,0.13,0.1153529302930679,8,0.12621892107664234,0.12899236505681816,0.12899236505681816,0.05308187478467058,0.12999772727272726,2.108637334000001,0.11554968167348795,0.11515617891264786,0.11518192421483842,0.11555989583333333,0.11595689777904328,0.11589224162488607,0.12545332449840402,0.12621892107664234,0.12560884727293473,0.12520601455479452,0.12543095448835084,0.12582570412477148
1.4,0.1,0.13,0.11514462762201447,7,0.12565905722754217,0.12915838068181817,0.12915838068181817,0.05362176149936071,0.12999772727272726,2.10228062500002,0.11523259862437471,0.11505665661965424,0.11607714354802004,0.11567462858606557,0.11529666144646923,0.11544179438240657,0.12565905722754217,0.12548115305656932,0.12535211518712916,0.12524614726027397,0.1250758408519872,0.1251008698011883
1.4,0.2,0.13,0.11562707625013655,7,0.12591110208618334,0.12925781249999999,0.12925781249999999,0.05246503801435923,0.12999772727272726,2.1040228340000056,0.11548217939972716,0.11577197310054595,0.115928681156122,0.11519346254553733,0.11558406890660591,0.11603645595943482,0.12591110208618334,0.12554708884580293,0.1257069046668188,0.12552885987442922,0.1251855870260393,0.12537759226462522
1.2,0.1,0.13,0.1151349022079195,9,0.12559815010269285,0.12927024147727273,0.12927024147727273,0.05264359894925906,0.12999772727272726,2.1121324579999907,0.11501676898590268,0.11525303542993631,0.1148494395766955,0.11531264230418944,0.11509645501138951,0.1150910508773929,0.12555663617191062,0.12525394189096714,0.12559815010269285,0.12539240867579907,0.12521592336683418,0.12530975062842778
1.0,0.2,0.13,0.1154435589893516,7,0.12611950666894667,0.12927201704545455,0.12927201704545455,0.05261449941606526,0.12999772727272726,2.104916750000001,0.11558343281036836,0.11530368516833485,0.11532949761037778,0.11529930128642987,0.11565881264236903,0.11568838309024612,0.12611950666894667,0.12594715870209855,0.12551257274075764,0.12562785388127853,0.1252025396870717,0.12474827182358318
1.0,0.3,0.13,0.11535702048280383,7,0.12657550302097584,0.12928178267045454,0.12928178267045454,0.05280714775899309,0.12999772727272726,2.1041950829999934,0.11514733259436107,0.11556670837124658,0.11567353920118344,0.11572443505236794,0.11554669703872437,0.11548630497948952,0.12657550302097584,0.12587854984032845,0.12615262009356457,0.12542451484018266,0.1254684287916857,0.1248420003999086
0.8,0.3,0.13,0.11533516290001328,8,0.1256878706660584,0.129404296875,0.129404296875,0.0527715975963182,0.12999772727272726,2.108385999999996,0.1155301415416098,0.11514018425841674,0.1159429050978607,0.11583472079918034,0.1158020714692483,0.11583437784867821,0.12526629474464204,0.1256878706660584,0.12539133814468278,0.12500535102739727,0.1252899797281864,0.12533563756855576
1.4,0.4,0.13,0.11585226984501548,10,0.1260693136415525,0.12942560369318185,0.12942560369318185,0.052891273061758975,0.12999772727272726,2.1045206670000027,0.11576551131195999,0.11593902837807099,0.11587534137460172,0.1162047116917122,0.11569262528473806,0.11591004586371922,0.12579621238030098,0.12545709540374086,0.12512836604290278,0.1260693136415525,0.12524893644358154,0.12474916447669104
1.2,0.4,0.13,0.11581315159688507,7,0.12604024167806657,0.1294806463068182,0.1294806463068182,0.052657838255538804,0.12999772727272726,2.1079821669999887,0.11585433009322418,0.11577197310054596,0.11573043496813838,0.11569686361566484,0.11613041002277905,0.11520499800592525,0.12604024167806657,0.12554797986998176,0.12483686815381106,0.12543789240867578,0.12555140760621286,0.125391874714351
1.8,0.3,0.13,0.11635872540578045,7,0.1254559963520292,0.12950461647727274,0.12950461647727274,0.052808849291130645,0.12999772727272726,2.1039105830000153,0.11594936618917691,0.11676808462238399,0.11590467825443787,0.11565684056238615,0.11571576025056948,0.1161067827028259,0.1254559963520292,0.12512563440921534,0.12536370378822453,0.12522741866438356,0.12487508565555047,0.12499553673446068
1.8,0.4,0.13,0.11579273317737693,8,0.12585271013914234,0.12956764914772728,0.12956764914772728,0.05316349560236197,0.12999772727272726,2.093748750000003,0.1157699522510232,0.11581551410373067,0.11628161271051433,0.11667876252276868,0.11562677961275626,0.11636494416590704,0.12543996523027814,0.12585271013914234,0.12557943005476951,0.12518817779680366,0.12533726873001372,0.1251446098034735
0.8,0.2,0.13,0.11529118790514942,7,0.1262691304719562,0.12962446732954544,0.12962446732954544,0.05181125203132741,0.12999772727272726,2.1449887079999996,0.11548484396316508,0.11509753184713375,0.11546462505689578,0.11547095571493625,0.11517119874715262,0.11541686844804011,0.1262691304719562,0.125981908645073,0.12547958979917845,0.1251810430936073,0.1250267673595249,0.1250990844949726
0.6,0.2,0.13,0.11521389899779699,7,0.1259137739398085,0.1296573153409091,0.1296573153409091,0.053080830535757524,0.12999772727272726,2.1237618339999997,0.11540313068440201,0.11502466731119199,0.1149410062016386,0.11528418146630237,0.11513293707289293,0.11582992678896992,0.1259137739398085,0.1257627166970803,0.12577554484253767,0.12542629851598172,0.12560405007994516,0.1251624628656307
1.8,0.2,0.13,0.11613073005921863,7,0.12643656663246694,0.1296590909090909,0.1296590909090909,0.053204562380351414,0.12999772727272726,2.100078499999995,0.11626378467485218,0.11599767544358508,0.11566109325216205,0.11566128756830601,0.11566504128701594,0.11654298655423884,0.12643656663246694,0.12597834454835766,0.12505616014376997,0.12487781820776254,0.12492862037460027,0.12506962694241316
0.6,0.1,0.13,0.11513348809816046,7,0.12577572816917465,0.12968128551136365,0.12968128551136365,0.05244439062417699,0.12999772727272726,2.12302625,0.11537382048658482,0.1148931557097361,0.11461029955621302,0.11540514002732241,0.11471828730068337,0.11494327569507748,0.12577572816917465,0.12560411439324817,0.12523533774532175,0.12534870861872147,0.12519718621516673,0.12488931101462523
1.0,0.4,0.13,0.11568434840253303,7,0.12587725860693114,0.1297150213068182,0.1297150213068182,0.05229481742596856,0.12999772727272726,2.107639790999997,0.1156669224647567,0.11570177434030937,0.11567087221210744,0.11565861936475409,0.11537407460136674,0.1156955047857794,0.12587725860693114,0.12575469747947082,0.12541362391602007,0.1257339825913242,0.12562546396756513,0.12509283592321757
1.0,0.1,0.13,0.11505005946122421,7,0.12639648882808938,0.12976384943181818,0.12976384943181818,0.05349623884386295,0.12999772727272726,2.110800000000012,0.11493860845839017,0.11516151046405826,0.11503257282658169,0.11516322290528232,0.11511870017084284,0.11460054409753874,0.12639648882808938,0.1254713517906022,0.1258459678799635,0.12534068207762558,0.12504996573777982,0.12492948040447899
0.8,0.1,0.13,0.11504955495599942,7,0.12618808424532604,0.12980113636363638,0.12980113636363638,0.05268910746013185,0.12999772727272726,2.105659208000006,0.11520328842655753,0.11489582148544131,0.11493656121984525,0.11481279883879782,0.1153340333143508,0.11537769912260712,0.12618808424532604,0.126109325102646,0.12535657234139663,0.12566531107305934,0.12487776239150297,0.12560075554159048
0.6,0.4,0.13,0.11594777993746691,7,0.12585143068855448,0.1298419744318182,0.1298419744318182,0.05316755891659236,0.12999772727272726,2.1060462909999984,0.115825019895407,0.11607053997952683,0.11535527850477925,0.11538913080601093,0.11531267796127563,0.11547473222424795,0.12585143068855448,0.12534482635720803,0.12529773790506618,0.1251337756849315,0.12501159918912744,0.12478754856032909
1.2,0.2,0.13,0.11568960519746238,7,0.1263920357387141,0.12987215909090907,0.12987215909090907,0.05282077078057795,0.12999772727272726,2.0923554999999965,0.1159955519554343,0.11538365843949044,0.11546462505689577,0.11586584984061932,0.11534204157175398,0.11540707611668187,0.1263920357387141,0.1261681326984489,0.12583259641716113,0.12540846175799086,0.12545147613065324,0.12544007798217552
1.4,0.3,0.13,0.11577095418991375,7,0.12581491535567718,0.1299520596590909,0.1299520596590909,0.052266565217686786,0.12999772727272726,2.106115083999981,0.11580725613915416,0.11573465224067334,0.11599980086481566,0.11575200648907102,0.115672159738041,0.1156171661349134,0.12581491535567718,0.12539205063868614,0.1253592466339571,0.12503478167808219,0.12454941611466425,0.12568377228062155
1.2,0.3,0.13,0.11582867750777556,7,0.12621302154582764,0.1299724786931818,0.1299724786931818,0.05291685644046021,0.12999772727272726,2.1012457920000145,0.11596180081855388,0.11569555419699726,0.11587089639280837,0.11541937044626593,0.11543903046697038,0.11575247835004558,0.12621302154582764,0.1259070626140511,0.1254501725810132,0.12475385273972604,0.12475552478300594,0.12501696040904936
1.8,0.1,0.13,0.11542808076097333,8,0.1256771783759124,0.13009232954545455,0.13009232954545455,0.053209154083666166,0.12999772727272726,2.100417666999988,0.1152663497612551,0.11558981176069154,0.1156068644742831,0.11527084044854283,0.11608058086560365,0.11616464647903374,0.12551477713178297,0.1256771783759124,0.1255696243153811,0.1250597531392694,0.12527124257651898,0.1251945983775137
0.8,0.4,0.13,0.11556839928203003,7,0.1258042279411765,0.13011097301136362,0.13011097301136362,0.051876112944139685,0.12999772727272726,2.125158374999998,0.11561363119599818,0.11552316736806187,0.1154672920459718,0.11567907559198543,0.11569262528473805,0.11587087653828623,0.1258042279411765,0.12546511462135038,0.12531289222957553,0.1253335473744292,0.12524269072635907,0.12477505141681901
1.8,0.4,0.14,0.10915515472622854,7,0.1266797053123575,0.13851828835227276,0.13851828835227276,0.050818657793252814,0.13999093911460544,2.0491140409999957,0.10901794849931787,0.10929236095313921,0.10933055018206644,0.10889205515710383,0.10941504128701596,0.1096447342183227,0.1266797053123575,0.1261066520301095,0.12579515632131447,0.12573041523972603,0.1256022655893102,0.1254034792047532
1.4,0.2,0.14,0.10483490414237476,7,0.1291903571021432,0.13902077414772726,0.13902077414772726,0.04924063859929585,0.139991202445101,2.0525580829999797,0.10474576512050932,0.10492404316424021,0.10514071034365041,0.10515657018442623,0.10488770643507973,0.10523551447128532,0.1291903571021432,0.12767218151231752,0.12666608426517573,0.1264750998858447,0.12631249286203747,0.12500535591864714
0.6,0.4,0.14,0.107949130440371,7,0.12755072959416325,0.139033203125,0.139033203125,0.05050742702180881,0.13998679746608844,2.0461425420000054,0.10796633412914962,0.10793192675159236,0.10787970812471553,0.10834507342896177,0.10879128701594533,0.10809309480401094,0.12755072959416325,0.12652721544251824,0.12626404895025103,0.1256126926369863,0.12581015874828688,0.12515978490630714
