method,method_label,condition,feedback_error_prob,feedback_delay,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,stats_sufficient,collision_rate,causal_lag_counts,causal_lag_estimates,pending_feedback,elapsed_s
mcsh_l2,MCSH $L_h=2$,delay_1,0.0,1,472,2042000,125,1000,302818,2048000,141.80301635244572,0.00023114593535749264,0.0002112146033448393,0.00025295761787074366,0.125,0.1059262306352052,0.14694383822896098,0.105,0.145,True,0.1478603515625,"[1379, 1271, 25501, 786, 273, 333, 277, 198, 284, 323, 188, 187]","[0.0, 0.0, 0.17821078, 0.11713645, 0.11452408, 0.13209295, 0.12842551, 0.11926843, 0.10793787, 0.11486339, 0.11414591, 0.12374528]",2,14.74776887500002
mcsh_l2,MCSH $L_h=2$,delay_2,0.0,2,465,2042000,127,1000,302737,2048000,141.81578936160548,0.0002277179236043095,0.00020794159155642695,0.00024937461905047946,0.127,0.10778000925843896,0.149074752571785,0.107,0.147,True,0.14782080078125,"[1380, 1272, 25429, 812, 277, 341, 269, 216, 293, 320, 198, 193]","[0.0, 0.0, 0.17588846, 0.11857383, 0.11640215, 0.13229174, 0.12148296, 0.1192685, 0.10821515, 0.11751162, 0.11431099, 0.1257609]",3,14.808478792000017
mcsh_l2,MCSH $L_h=2$,delay_4,0.0,4,477,2042000,126,1000,303060,2048000,141.91794441747732,0.0002335945151811949,0.00021355317053708704,0.00025551620111326494,0.126,0.10685291068700963,0.14800950466018548,0.106,0.146,True,0.147978515625,"[1381, 1274, 25647, 687, 264, 296, 278, 230, 262, 325, 181, 175]","[0.0, 0.0, 0.18844816, 0.11963093, 0.11388558, 0.13229428, 0.12871187, 0.1192684, 0.10863413, 0.11872235, 0.11431099, 0.12425955]",5,14.748419082999987
pash_c15,PASH-cap $p_{\max}=0.15$,exact,0.0,0,299,4539366,100,2223,536561,4552704,266.24406093340184,6.586822917561616e-05,5.881356305425148e-05,7.376903757986642e-05,0.0449842555105713,0.037124751353666,0.054413628270649814,0.03688708951866847,0.053531264057579846,True,0.11785545469242015,"[3641, 2669, 3940, 3314, 2770, 1634, 20462, 10677, 6501, 5367, 4702, 3236]","[0.050393, 0.05399034, 0.07538575, 0.06848847, 0.10689672, 0.10739427, 0.15344192, 0.10856339, 0.11676232, 0.111543, 0.10321147, 0.10912155]",1,34.302625166999974
pash_c15,PASH-cap $p_{\max}=0.15$,corrupt_10,0.1,0,305,5268360,100,2580,622430,5283840,308.7752596394764,5.789277877745636e-05,5.175014108235859e-05,6.476448799282691e-05,0.03875968992248062,0.03197136063571058,0.0469194931838308,0.031395348837209305,0.046511627906976744,True,0.11779879784399225,"[4491, 3271, 4407, 3974, 3147, 1808, 24588, 10793, 7309, 6285, 5635, 4272]","[0.05940744, 0.07952459, 0.10255302, 0.08912931, 0.08857818, 0.08610797, 0.12359162, 0.10182086, 0.10161841, 0.12985697, 0.10028522, 0.10733526]",1,39.81987033399997
pash_c15,PASH-cap $p_{\max}=0.15$,corrupt_20,0.2,0,342,5113168,100,2504,602365,5128192,299.0769649597619,6.688612617461425e-05,6.016324226982581e-05,7.43601964387094e-05,0.039936102236421724,0.03294491795788316,0.04833671892698987,0.032348242811501594,0.04752396166134185,True,0.1174614757013778,"[4567, 3231, 4419, 3896, 3097, 1938, 21282, 12001, 7097, 6583, 5643, 3870]","[0.09271504, 0.07960062, 0.08950618, 0.07978431, 0.10926475, 0.09325922, 0.10097148, 0.10084673, 0.09835836, 0.11067304, 0.15120826, 0.09583867]",1,38.66687620900001
pash_c15,PASH-cap $p_{\max}=0.15$,corrupt_30,0.3,0,327,5145840,100,2520,603042,5160960,299.73449770591935,6.354647637703465e-05,5.7022239735627106e-05,7.081713493031674e-05,0.03968253968253968,0.03273506248001339,0.048031286019524354,0.03214285714285714,0.04801587301587302,True,0.11684686569940476,"[5023, 3582, 4328, 3846, 3220, 1887, 19978, 11229, 7851, 7069, 5211, 4896]","[0.07902485, 0.07009176, 0.08738568, 0.0984777, 0.11048983, 0.09055668, 0.11582614, 0.12211026, 0.10858424, 0.12050833, 0.10773957, 0.10913335]",1,40.50448241700002
pash_c15,PASH-cap $p_{\max}=0.15$,delay_1,0.0,1,326,4994732,100,2446,590690,5009408,293.1945405877334,6.526876717309357e-05,5.8557996697850455e-05,7.274853875030674e-05,0.04088307440719542,0.03372873673251534,0.04947724302048436,0.033524121013900246,0.04905968928863451,True,0.11791612901165167,"[4064, 2925, 4058, 3958, 2699, 1911, 23957, 11647, 6562, 5516, 4742, 3787]","[0.06735302, 0.0652042, 0.06632865, 0.10073286, 0.08739977, 0.11257269, 0.10705595, 0.11363958, 0.11053674, 0.14393096, 0.10928659, 0.11372207]",2,39.022427666
pash_c15,PASH-cap $p_{\max}=0.15$,delay_2,0.0,2,302,5268360,100,2580,623500,5283840,309.3052078635498,5.7323341609153515e-05,5.121268311400459e-05,6.41630724549922e-05,0.03875968992248062,0.03197136063571058,0.0469194931838308,0.03178294573643411,0.04689922480620155,True,0.11800130208333333,"[4402, 3148, 4162, 4055, 2784, 1957, 25720, 12617, 6231, 6260, 4956, 3688]","[0.05295552, 0.07843653, 0.10332586, 0.08148694, 0.10288202, 0.08750293, 0.13341476, 0.10345431, 0.10939508, 0.11281901, 0.09940902, 0.10334942]",3,40.395241624999926
pash_c15,PASH-cap $p_{\max}=0.15$,delay_4,0.0,4,316,4369880,100,2140,517103,4382720,256.59349289917094,7.231319853176747e-05,6.476785482907035e-05,8.073749082524977e-05,0.04672897196261682,0.03857018047952937,0.05651215780719501,0.03830607476635514,0.05608644859813078,True,0.11798677533586449,"[3703, 2687, 3509, 3171, 2312, 1430, 21023, 10815, 5621, 5071, 4118, 2880]","[0.05344008, 0.07712424, 0.09026265, 0.06609537, 0.07988367, 0.10690188, 0.13657255, 0.10817285, 0.10929596, 0.10544402, 0.11585121, 0.10853671]",5,34.713960292000024
