method,label,short_delay_collision,worst_lag,worst_lag_collision,candidate_collision,usage_cv,max_inclusion_prob,top_s_mass_fraction,min_entropy_approx,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
random,Random,0.12485981275189073,11,0.1252198164101706,0.12510911458333335,0.0480656721990339,0.125,0.125,2.0794415416798353,0.12493773966322108,0.12478188584056038,0.12500156406406404,0.124678738317757,0.12504199707846408,0.12497860303941218,0.1250216651353157,0.12498276654411766,0.12493208793045803,0.12496655518394648,0.1252198164101706,0.12505124665327977
pash_cap,PASH-cap (heuristic),0.09946262294201191,7,0.1304463017875042,0.14821770833333334,0.03954967284956186,0.1499860905873916,0.1499860905873916,1.8972127186031842,0.09945658969656553,0.09946865618745832,0.0994901151151151,0.09937599090453939,0.0993157867278798,0.09956005761523047,0.1304463017875042,0.12901852857620322,0.12810175317619527,0.12722068352842814,0.12645925685848108,0.12522511922690766
pash_opt_0.00,PASH-opt $\lambda=0.00$,0.10372293786575457,7,0.12889293768793852,0.14162552083333332,0.04117983760638298,0.14279280837433989,0.14278560619038166,1.946360594001408,0.10382705693564523,0.1036188187958639,0.10380302177177177,0.10386765687583446,0.1038217341402337,0.10354224073146293,0.12889293768793852,0.1280022769050802,0.12726983032430625,0.12656302257525082,0.12604288641686182,0.12512576347054885
pash_opt_0.25,PASH-opt $\lambda=0.25$,0.0964830674861795,7,0.13050190026729033,0.1461434895833333,0.04000141080454785,0.1475672223250692,0.14756263668073824,1.9134714635138699,0.09455860286762252,0.09840753210473649,0.10104297005338672,0.10228586031375168,0.10265729340567611,0.10282439879759517,0.13050190026729033,0.1287487988803476,0.12766607113005685,0.12651703595317726,0.1256712111073938,0.1251641984605087
pash_opt_0.50,PASH-opt $\lambda=0.50$,0.09092111358250171,7,0.13097722811560308,0.14866640625,0.03922013481489095,0.14998764230335745,0.14998764229905048,1.897202372923966,0.08700295931977324,0.09483926784523017,0.09956649357691023,0.10209654539385848,0.10319777754590986,0.10365418336673346,0.13097722811560308,0.12921122994652406,0.12737979563691076,0.126672502090301,0.12566415398126463,0.12529414533132527
pash_opt_0.75,PASH-opt $\lambda=0.75$,0.08660137197097165,7,0.13093180963915804,0.14840677083333334,0.03854450420017273,0.14998814265047,0.14998814265047,1.8971990370072844,0.08036116205401801,0.0928415818879253,0.09994812520854184,0.10377899699599465,0.10514738105175292,0.10569498371743484,0.13093180963915804,0.12888013870320852,0.12753155299231028,0.12630669941471573,0.12551699983271997,0.12501594921352072
pash_opt_1.00,PASH-opt $\lambda=1.00$,0.08261663490759985,7,0.13130925283995992,0.1485453125,0.03916958487874185,0.149988642997582,0.149988642997582,1.8971957011017353,0.07440709403134378,0.0908261757838559,0.10005161411411409,0.1052145047563418,0.1070500313021703,0.10723138986305944,0.13130925283995992,0.12886421081216579,0.1270373620862588,0.12613660117056855,0.1256976099866176,0.12500156877510044
